source_uid,premise,hypothesis,label
1,"Hệ thống xe điện Parma (tiếng Ý: ""Rete filoviaria di Parma"") tạo thành một phần của mạng lưới giao thông công cộng của thành phố và ""xã"" Parma ở vùng Emilia-Romagna phía bắc nước Ý. Đi vào hoạt động từ năm 1953, hệ thống này hiện bao gồm bốn tuyến đường đô thị.",Hệ thống xe điện có được trên 2 tuyến nội thị.,0
2,"Alexandra Lendon Bastedo (9 tháng 3 năm 1946 – 12 tháng 1 năm 2014) là một nữ diễn viên người Anh nổi tiếng với vai điệp viên bí mật Sharron Macready trong loạt phim phiêu lưu khoa học viễn tưởng/gián điệp của Anh năm 1968 ""The Champions"". Cô được coi là biểu tượng sex của những năm 1960 và 1970. Bastedo là một người ủng hộ việc ăn chay và bảo vệ động vật.",Sharron Macready chính là nhân vật nổi tiếng trong thập niên 1980.,1
3,"Alexandra Lendon Bastedo (9 tháng 3 năm 1946 – 12 tháng 1 năm 2014) là một nữ diễn viên người Anh nổi tiếng với vai điệp viên bí mật Sharron Macready trong loạt phim phiêu lưu khoa học viễn tưởng/gián điệp của Anh năm 1968 ""The Champions"". Cô được coi là biểu tượng sex của những năm 1960 và 1970. Bastedo là một người ủng hộ việc ăn chay và bảo vệ động vật.",Bastedo không hề nuôi bất kỳ vật nuôi nào vì quan điểm của cô ấy về quyền động vật.,1
4,"Alexandra Lendon Bastedo (9 tháng 3 năm 1946 – 12 tháng 1 năm 2014) là một nữ diễn viên người Anh nổi tiếng với vai điệp viên bí mật Sharron Macready trong loạt phim phiêu lưu khoa học viễn tưởng/gián điệp của Anh năm 1968 ""The Champions"". Cô được coi là biểu tượng sex của những năm 1960 và 1970. Bastedo là một người ủng hộ việc ăn chay và bảo vệ động vật.","Nói cách khác, alexandra Bastedo được mẹ cô đặt tên.",1
5,"Alexandra Lendon Bastedo (9 tháng 3 năm 1946 – 12 tháng 1 năm 2014) là một nữ diễn viên người Anh nổi tiếng với vai điệp viên bí mật Sharron Macready trong loạt phim phiêu lưu khoa học viễn tưởng/gián điệp của Anh năm 1968 ""The Champions"". Cô được coi là biểu tượng sex của những năm 1960 và 1970. Bastedo là một người ủng hộ việc ăn chay và bảo vệ động vật.","Nói cách khác, bastedo chăm sóc tất cả các loài động vật sống trên trái đất.",1
6,"Alexandra Lendon Bastedo (9 tháng 3 năm 1946 – 12 tháng 1 năm 2014) là một nữ diễn viên người Anh nổi tiếng với vai điệp viên bí mật Sharron Macready trong loạt phim phiêu lưu khoa học viễn tưởng/gián điệp của Anh năm 1968 ""The Champions"". Cô được coi là biểu tượng sex của những năm 1960 và 1970. Bastedo là một người ủng hộ việc ăn chay và bảo vệ động vật.","Nói cách khác, bastedo chưa bao giờ ăn thịt trong đời.",1
7,"Vụ thảm sát Centralia là một sự cố xảy ra trong Nội chiến Hoa Kỳ, trong đó 24 binh sĩ Liên minh không vũ trang bị bắt và hành quyết tại Centralia Missouri vào ngày 27 tháng 9 năm 1864 bởi thủ lĩnh du kích ủng hộ Liên minh miền Nam William T. Anderson. Tương lai ngoài vòng pháp luật Jesse James là một trong những người du kích.",Jesse James chính là một du kích trong quân đội Liên minh trong Nội chiến Hoa Kỳ.,2
8,"Rhodochiton là một chi thực vật có hoa trong họ Plantaginaceae có nguồn gốc ở miền nam Mexico và nước láng giềng Guatemala. Chúng leo trèo bằng cách quấn thân lá. Một trong ba loài Rhodochiton atrosanguineus, cây nho chuông tím được trồng làm cây cảnh. Cả ba loài đôi khi được xếp vào ""Lophospermum"".",Rhodochiton atrosanguineus chính là một loài thực vật có hoa trong họ Plantaginaceae.,0
9,Paul Beard (4 tháng 8 năm 1901 – 22 tháng 4 năm 1989) là một nghệ sĩ violin người Anh được biết đến đặc biệt với tư cách là chỉ huy của Dàn nhạc Giao hưởng London nguyên gốc của Ngài Thomas Beecham và Dàn nhạc Giao hưởng BBC của Ngài Adrian Boult. Ông cũng là giáo viên giữ chức vụ tại Học viện Âm nhạc Hoàng gia và Trường Âm nhạc Guildhall.,Paul Beard khởi đầu chính là chỉ huy của Dàn nhạc Giao hưởng London.,1
10,Paul Beard (4 tháng 8 năm 1901 – 22 tháng 4 năm 1989) là một nghệ sĩ violin người Anh được biết đến đặc biệt với tư cách là chỉ huy của Dàn nhạc Giao hưởng London nguyên gốc của Ngài Thomas Beecham và Dàn nhạc Giao hưởng BBC của Ngài Adrian Boult. Ông cũng là giáo viên giữ chức vụ tại Học viện Âm nhạc Hoàng gia và Trường Âm nhạc Guildhall.,"Nói cách khác, paul Beard viết bài hát cuối cùng của mình vào năm 1989.",1
11,Paul Beard (4 tháng 8 năm 1901 – 22 tháng 4 năm 1989) là một nghệ sĩ violin người Anh được biết đến đặc biệt với tư cách là chỉ huy của Dàn nhạc Giao hưởng London nguyên gốc của Ngài Thomas Beecham và Dàn nhạc Giao hưởng BBC của Ngài Adrian Boult. Ông cũng là giáo viên giữ chức vụ tại Học viện Âm nhạc Hoàng gia và Trường Âm nhạc Guildhall.,"Nói cách khác, paul Beard viết bài hát đầu tiên của mình tại Dàn nhạc Giao hưởng BBC của Sir Adrian Boult.",1
