uid  , premise                                                                                                                                                                                                                                                                                                                                                                                                                     , hypothesis                                                                                                                                                                                                                                                                                                                                                             , label, reason
    1, "The Parma trolleybus system (Italian: ""Rete filoviaria di Parma"" ) forms part of the public transport network of the city and ""comune"" of Parma, in the region of Emilia-Romagna, northern Italy. In operation since 1953, the system presently comprises four urban routes."                                                                                                                                          , The trolleybus system has over 2 urban routes                                                                                                                                                                                                                                                                                                                          ,     0, 
    2, "Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate."                                                                              , Sharron Macready was a popular character through the 1980's.                                                                                                                                                                                                                                                                                                           ,     1, 
    3, "Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate."                                                                              , Bastedo didn't keep any pets because of her views on animal rights.                                                                                                                                                                                                                                                                                                    ,     1, 
    4, "Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate."                                                                              , Alexandra Bastedo was named by her mother.                                                                                                                                                                                                                                                                                                                             ,     1, 
    5, "Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate."                                                                              , Bastedo cared for all the animals that inhabit the earth.                                                                                                                                                                                                                                                                                                              ,     1, 
    6, "Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate."                                                                              , Bastedo never ate meat in her life.                                                                                                                                                                                                                                                                                                                                    ,     1, 
    7, "The Centralia Massacre was an incident during the American Civil War in which twenty-four unarmed Union soldiers were captured and executed at Centralia, Missouri on September 27, 1864 by the pro-Confederate guerrilla leader William T. Anderson. Future outlaw Jesse James was among the guerrillas."                                                                                                                 , Jesse James was a guerrilla in the Union army during the American Civil War.                                                                                                                                                                                                                                                                                           ,     2, 
    8, "Rhodochiton is a genus of flowering plants within the family Plantaginaceae, native to southern Mexico and neighbouring Guatemala. They climb by means of twining leaf stalks. One of the three species, ""Rhodochiton atrosanguineus"", the purple bell vine, is grown as an ornamental plant. All three species are sometimes included in ""Lophospermum""."                                                             , Rhodochiton atrosanguineus is a species of the family Plantaginaceae.                                                                                                                                                                                                                                                                                                  ,     0, 
    9, "Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music."                                                                                                     , Paul Beard started as the leader of the London Philharmonic Orchestra                                                                                                                                                                                                                                                                                                  ,     1, 
   10, "Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music."                                                                                                     , Paul Beard wrote his last song in 1989                                                                                                                                                                                                                                                                                                                                 ,     1, 
