uid,premise,hypothesis,label,reason,label_name
0fd0abfb-659e-4453-b196-c3a64d2d8267,"The Parma trolleybus system (Italian: ""Rete filoviaria di Parma"" ) forms part of the public transport network of the city and ""comune"" of Parma, in the region of Emilia-Romagna, northern Italy. In operation since 1953, the system presently comprises four urban routes.",The trolleybus system has over 2 urban routes,0,,entailment
7ed72ff4-40b7-4f8a-b1b9-6c612aa62c84,"Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate.",Sharron Macready was a popular character through the 1980's.,1,,neutral
5d2930a3-62ac-485d-94d7-4e36cbbcd7b5,"Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate.",Bastedo didn't keep any pets because of her views on animal rights.,1,,neutral
324db753-ddc9-4a85-a825-f09e2e5aebdd,"Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate.",Alexandra Bastedo was named by her mother.,1,,neutral
4874f429-da0e-406a-90c7-22240ff3ddf8,"Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate.",Bastedo cared for all the animals that inhabit the earth.,1,,neutral
cf785a43-dfee-4240-a23d-bdbbf07321fc,"Alexandra Lendon Bastedo (9 March 1946 – 12 January 2014) was a British actress, best known for her role as secret agent Sharron Macready in the 1968 British espionage/science fiction adventure series ""The Champions"". She has been cited as a sex symbol of the 1960s and 1970s. Bastedo was a vegetarian and animal welfare advocate.",Bastedo never ate meat in her life.,1,,neutral
2f6bed58-fd02-4ad6-8988-1135853f0151,"The Centralia Massacre was an incident during the American Civil War in which twenty-four unarmed Union soldiers were captured and executed at Centralia, Missouri on September 27, 1864 by the pro-Confederate guerrilla leader William T. Anderson. Future outlaw Jesse James was among the guerrillas.",Jesse James was a guerrilla in the Union army during the American Civil War.,2,,contradiction
0ec0015c-6c3a-47cb-b361-3928304e7a4e,"Rhodochiton is a genus of flowering plants within the family Plantaginaceae, native to southern Mexico and neighbouring Guatemala. They climb by means of twining leaf stalks. One of the three species, ""Rhodochiton atrosanguineus"", the purple bell vine, is grown as an ornamental plant. All three species are sometimes included in ""Lophospermum"".",Rhodochiton atrosanguineus is a species of the family Plantaginaceae.,0,,entailment
e6fc9d6f-03c4-4680-b7c7-2685f270df8d,"Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music.",Paul Beard started as the leader of the London Philharmonic Orchestra,1,,neutral
ebfb47f7-785e-43f6-b2f6-7e6643ab8e3d,"Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music.",Paul Beard wrote his last song in 1989,1,,neutral
118e13e6-2e07-4dc5-9dbc-3407207247ff,"Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music.",Paul Beard wrote his first song at Sir Adrian Boult's BBC Symphony Orchestra,1,,neutral
c7bad8de-7346-4f51-99e0-83b363aab73d,"Rhodochiton is a genus of flowering plants within the family Plantaginaceae, native to southern Mexico and neighbouring Guatemala. They climb by means of twining leaf stalks. One of the three species, ""Rhodochiton atrosanguineus"", the purple bell vine, is grown as an ornamental plant. All three species are sometimes included in ""Lophospermum"".",Rhodochiton atrosanguineus is native to more than one country.,0,,entailment
85d35795-4e39-4722-89df-5c3685382eb5,"Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music.",Paul Beard has the highest salary in the orchestra,1,,neutral
c0a90ff5-34cc-4920-bf34-d742f399ecef,"Rhodochiton is a genus of flowering plants within the family Plantaginaceae, native to southern Mexico and neighbouring Guatemala. They climb by means of twining leaf stalks. One of the three species, ""Rhodochiton atrosanguineus"", the purple bell vine, is grown as an ornamental plant. All three species are sometimes included in ""Lophospermum"".",You can find the purple bell vine in more than one country.,0,,entailment
